name,total_ops,threads,spent,throughput,latency
RwLock<StdHashMap>,16777216,1,1855342397,9042652.195696037,110
RwLock<StdHashMap>,16777216,2,1728200610,9707910.009359388,206
RwLock<StdHashMap>,16777216,3,1585555829,10581283.66919838,283
RwLock<StdHashMap>,16777216,4,1591448229,10542106.047987565,379
RwLock<StdHashMap>,16777216,5,1333822440,12578297.90298025,397
RwLock<StdHashMap>,16777216,6,1373014623,12219255.147729043,491
RwLock<StdHashMap>,16777216,7,1333145425,12584685.575469008,556
RwLock<StdHashMap>,16777216,8,1427797624,11750415.96791451,680
RwLock<StdHashMap>,16777216,9,1387139855,12094826.588339932,744
RwLock<StdHashMap>,16777216,10,1468685550,11423286.625241188,875
RwLock<StdHashMap>,16777216,11,1460279065,11489047.814295689,957
RwLock<StdHashMap>,16777216,12,1479916521,11336596.194401156,1058
RwLock<StdHashMap>,16777216,13,1521898603,11023872.396576475,1179
RwLock<StdHashMap>,16777216,14,1775639453,9448548.787116863,1481
RwLock<StdHashMap>,16777216,15,1799384935,9323861.544945078,1608
RwLock<StdHashMap>,16777216,16,1863780430,9001712.717844129,1777
RwLock<StdHashMap>,16777216,17,2081400210,8060543.0514490055,2109
RwLock<StdHashMap>,16777216,18,2041730036,8217156.8739169,2190
RwLock<StdHashMap>,16777216,19,2272190742,7383718.140332077,2573
RwLock<StdHashMap>,16777216,20,2312763057,7254187.128776849,2757
RwLock<StdHashMap>,16777216,21,2455080628,6833672.103741596,3073
RwLock<StdHashMap>,16777216,22,2559823868,6554050.928944616,3356
RwLock<StdHashMap>,16777216,23,2602522377,6446521.324185332,3567
RwLock<StdHashMap>,16777216,24,2597148317,6459860.567139108,3715
RwLock<StdHashMap>,16777216,25,2343185058,7160004.687943858,3491
RwLock<StdHashMap>,16777216,26,2872668710,5840289.185312984,4451
RwLock<StdHashMap>,16777216,27,2546057509,6589488.23453304,4097
RwLock<StdHashMap>,16777216,28,3073409522,5458828.665658048,5129
RwLock<StdHashMap>,16777216,29,3182894923,5271055.566040123,5501
RwLock<StdHashMap>,16777216,30,3354535141,5001353.479635526,5998
RwLock<StdHashMap>,16777216,31,3415329688,4912326.929651308,6310
RwLock<StdHashMap>,16777216,32,3543557735,4734568.265754529,6758
RwLock<StdHashMap>,16777216,33,3171101930,5290658.064718847,6237
RwLock<StdHashMap>,16777216,34,3222771158,5205835.344018552,6531
RwLock<StdHashMap>,16777216,35,3652034770,4593936.546776086,7618
RwLock<StdHashMap>,16777216,36,3660946887,4582753.183220383,7855
RwLock<StdHashMap>,16777216,37,3294142049,5093045.700653086,7264
RwLock<StdHashMap>,16777216,38,3774501163,4444882.985985187,8549
RwLock<StdHashMap>,16777216,39,3770424682,4449688.673027841,8764
RwLock<StdHashMap>,16777216,40,3335998802,5029143.292839828,7953
RwLock<StdHashMap>,16777216,41,3862033644,4344140.301849737,9438
RwLock<StdHashMap>,16777216,42,3880486273,4323482.888403456,9714
RwLock<StdHashMap>,16777216,43,3451302422,4861126.018124413,8845
RwLock<StdHashMap>,16777216,44,3939366538,4258861.377372039,10331
RwLock<StdHashMap>,16777216,45,3953987555,4243113.000895624,10605
RwLock<StdHashMap>,16777216,46,3947378736,4250216.947006425,10822
RwLock<StdHashMap>,16777216,47,3531744225,4750405.16276345,9893
LeapfrogMap,16777216,1,1972079403,8507373.47313596,117
LeapfrogMap,16777216,2,1020018308,16447955.755711788,121
LeapfrogMap,16777216,3,677785807,24752976.274700895,121
LeapfrogMap,16777216,4,518565854,32353105.918154035,123
LeapfrogMap,16777216,5,420163980,39930162.50464878,125
LeapfrogMap,16777216,6,359237322,46702318.97564363,128
LeapfrogMap,16777216,7,311833655,53801813.021112174,130
LeapfrogMap,16777216,8,277170352,60530341.28267802,132
LeapfrogMap,16777216,9,242004907,69325933.13076912,129
LeapfrogMap,16777216,10,221913487,75602507.20588244,132
LeapfrogMap,16777216,11,202579629,82817882.9372819,132
LeapfrogMap,16777216,12,190918407,87876366.99692345,136
LeapfrogMap,16777216,13,179696938,93363950.36402902,139
LeapfrogMap,16777216,14,174483212,96153754.89534202,145
LeapfrogMap,16777216,15,176468696,95071910.09106793,157
LeapfrogMap,16777216,16,155447406,107928568.4574241,148
LeapfrogMap,16777216,17,147153548,114011630.89863114,149
LeapfrogMap,16777216,18,140036610,119805927.89271319,150
LeapfrogMap,16777216,19,134246435,124973270.23991364,152
LeapfrogMap,16777216,20,130852720,128214499.47696921,155
LeapfrogMap,16777216,21,126676407,132441520.85873419,158
LeapfrogMap,16777216,22,122639896,136800637.86094534,160
LeapfrogMap,16777216,23,122833275,136585269.74877125,168
LeapfrogMap,16777216,24,115681318,145029606.24981815,165
LeapfrogMap,16777216,25,123416228,135940113.1591868,183
LeapfrogMap,16777216,26,111353105,150666799.9962821,172
LeapfrogMap,16777216,27,112216868,149507077.67035523,180
LeapfrogMap,16777216,28,105346658,159257221.05014476,175
LeapfrogMap,16777216,29,106078531,158158449.61126018,183
LeapfrogMap,16777216,30,103769649,161677486.25612098,185
LeapfrogMap,16777216,31,108148816,155130833.79479626,199
LeapfrogMap,16777216,32,148190477,113213860.56406312,282
LeapfrogMap,16777216,33,123201427,136177123.9873707,242
LeapfrogMap,16777216,34,125440530,133746373.68002193,254
LeapfrogMap,16777216,35,132163519,126942866.88900891,275
LeapfrogMap,16777216,36,119755004,140096158.32003146,256
LeapfrogMap,16777216,37,119651726,140217083.03647873,263
LeapfrogMap,16777216,38,118489645,141592254.74934962,268
LeapfrogMap,16777216,39,117102563,143269417.595924,272
LeapfrogMap,16777216,40,118876129,141131917.2413496,283
LeapfrogMap,16777216,41,120476971,139256621.91490522,294
LeapfrogMap,16777216,42,115390015,145395734.63093838,288
LeapfrogMap,16777216,43,118664111,141384078.62845743,304
LeapfrogMap,16777216,44,114598745,146399648.6174434,300
LeapfrogMap,16777216,45,113712005,147541290.82501006,304
LeapfrogMap,16777216,46,111261252,150791184.69743624,305
LeapfrogMap,16777216,47,110245582,152180393.04287043,308
DashMap,16777216,1,2250482449,7454941.942539894,134
DashMap,16777216,2,1500109225,11183996.285337156,178
DashMap,16777216,3,1139477138,14723609.136596825,203
DashMap,16777216,4,869187173,19302190.0473904,207
DashMap,16777216,5,740818455,22646865.621078514,220
DashMap,16777216,6,649592900,25827277.360944062,232
DashMap,16777216,7,573997536,29228724.772783693,239
DashMap,16777216,8,474504734,35357320.58681632,226
DashMap,16777216,9,441032768,38040747.12199163,236
DashMap,16777216,10,408222503,41098214.51954597,243
DashMap,16777216,11,382196107,43896878.31121734,250
DashMap,16777216,12,364908114,45976549.592426986,261
DashMap,16777216,13,340717759,49240802.85465836,264
DashMap,16777216,14,328288722,51105063.54829942,273
DashMap,16777216,15,306355471,54763885.70844227,273
DashMap,16777216,16,319275944,52547698.363394395,304
DashMap,16777216,17,291324332,57589477.284032695,295
DashMap,16777216,18,294048019,57056041.584827,315
DashMap,16777216,19,285327089,58799941.0038491,323
DashMap,16777216,20,292006280,57454983.50240961,348
DashMap,16777216,21,272552952,61555803.65902623,341
DashMap,16777216,22,272716084,61518982.503430195,357
DashMap,16777216,23,264998753,63310546.97453614,363
DashMap,16777216,24,254345190,65962387.57257411,363
DashMap,16777216,25,255582482,65643059.21405052,380
DashMap,16777216,26,260023942,64521812.37987693,402
DashMap,16777216,27,239884692,69938668.7000436,386
DashMap,16777216,28,235878216,71126602.0428101,393
DashMap,16777216,29,226040782,74222075.55448999,390
DashMap,16777216,30,221762496,75653982.53814748,396
DashMap,16777216,31,234379868,71581301.51349007,433
DashMap,16777216,32,225075844,74540278.0762204,429
DashMap,16777216,33,242002055,69326750.13854738,476
DashMap,16777216,34,245935204,68218033.55976643,498
DashMap,16777216,35,277254808,60511902.82694755,578
DashMap,16777216,36,245298406,68395128.50319949,526
DashMap,16777216,37,237597815,70611827.80658147,523
DashMap,16777216,38,242414724,69208733.37710296,549
DashMap,16777216,39,249094327,67352862.67679633,579
DashMap,16777216,40,268308052,62529677.64083353,639
DashMap,16777216,41,267352922,62753067.64741475,653
DashMap,16777216,42,275121527,60981109.63159928,688
DashMap,16777216,43,260783385,64333914.52450087,668
DashMap,16777216,44,267251598,62776859.42966747,700
DashMap,16777216,45,271122296,61880620.83982942,727
DashMap,16777216,46,280776855,59752845.368967466,769
DashMap,16777216,47,277189490,60526162.08500546,776
